--------- beginning of main
--------- beginning of system
08-05 02:09:16.469  9658 16016 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 02:09:16.472  9658 16016 D CustomInterceptor: HEADER REQUEST
08-05 02:09:16.472  9658 16016 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:16.472  9658 16016 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:09:16.472  9658 16016 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 02:09:16.472  9658 16016 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-05 02:09:16.472  9658 16016 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.026  9658 16016 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:17.068  9658 16016 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:17.068  9658 16016 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:17.068  9658 16016 D CustomInterceptor: Connection close
08-05 02:09:17.068  9658 16016 D CustomInterceptor: Content-Type application/json
08-05 02:09:17.068  9658 16016 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:12 GMT
08-05 02:09:17.068  9658 16016 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:17 GMT+00:00
08-05 02:09:17.068  9658 16016 D CustomInterceptor: Server gunicorn/19.7.0
08-05 02:09:17.068  9658 16016 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:09:17.068  9658 16016 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-05 02:09:17.068  9658 16016 D CustomInterceptor: X-gunicorn-server app12
08-05 02:09:17.068  9658 16016 D CustomInterceptor: X-Homer Save me, Jeebus.
08-05 02:09:17.068  9658 16016 D CustomInterceptor: CACHEABLE true
08-05 02:09:17.069  9658 16016 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 02:09:17.069  9658 16016 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:17.069  9658 16016 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 02:09:17.074  9658 16016 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:17.204  9658 16045 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-05 02:09:17.205  9658 16045 D CustomInterceptor: HEADER REQUEST
08-05 02:09:17.205  9658 16045 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:17.205  9658 16045 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-05 02:09:17.205  9658 16045 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.224  9658 16047 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-05 02:09:17.225  9658 16047 D CustomInterceptor: HEADER REQUEST
08-05 02:09:17.225  9658 16047 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:17.225  9658 16047 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=1,misses=2,hitRate=33%]', 
08-05 02:09:17.225  9658 16047 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.244  9658 16046 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 02:09:17.244  9658 16054 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 02:09:17.244  9658 16046 D CustomInterceptor: HEADER REQUEST
08-05 02:09:17.244  9658 16046 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:17.245  9658 16046 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '3', toString = 'LruCache[maxSize=100,hits=1,misses=3,hitRate=25%]', 
08-05 02:09:17.245  9658 16046 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.245  9658 16054 D CustomInterceptor: HEADER REQUEST
08-05 02:09:17.245  9658 16054 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:17.245  9658 16054 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '4', toString = 'LruCache[maxSize=100,hits=1,misses=4,hitRate=20%]', 
08-05 02:09:17.245  9658 16054 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.257  9658 16057 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 02:09:17.258  9658 16057 D CustomInterceptor: HEADER REQUEST
08-05 02:09:17.258  9658 16057 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:17.258  9658 16057 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '5', toString = 'LruCache[maxSize=100,hits=1,misses=5,hitRate=16%]', 
08-05 02:09:17.258  9658 16057 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.264  9658 16053 D CustomInterceptor: NETWORK-PROVIDER https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-05 02:09:17.265  9658 16053 D CustomInterceptor: HEADER REQUEST
08-05 02:09:17.265  9658 16053 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:17.265  9658 16053 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '6', toString = 'LruCache[maxSize=100,hits=1,misses=6,hitRate=14%]', 
08-05 02:09:17.265  9658 16053 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.268  9658 16061 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/7702341.png
08-05 02:09:17.269  9658 16061 D CustomInterceptor: HEADER REQUEST
08-05 02:09:17.269  9658 16061 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:17.269  9658 16061 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '7', toString = 'LruCache[maxSize=100,hits=1,misses=7,hitRate=12%]', 
08-05 02:09:17.269  9658 16061 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.276  9658 16056 D CustomInterceptor: NETWORK-PROVIDER https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-quit-after-covid.jpg
08-05 02:09:17.277  9658 16056 D CustomInterceptor: HEADER REQUEST
08-05 02:09:17.277  9658 16056 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:17.277  9658 16056 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '8', toString = 'LruCache[maxSize=100,hits=1,misses=8,hitRate=11%]', 
08-05 02:09:17.277  9658 16056 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.279  9658 16066 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/6326827.png
08-05 02:09:17.279  9658 16066 D CustomInterceptor: HEADER REQUEST
08-05 02:09:17.279  9658 16066 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
