--------- beginning of main
--------- beginning of system
08-03 19:48:40.136 13477  6410 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-03 19:48:40.137 13477  6410 D CustomInterceptor: HEADER REQUEST
08-03 19:48:40.137 13477  6410 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:40.137 13477  6410 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:48:40.137 13477  6410 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-03 19:48:40.137 13477  6410 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-03 19:48:40.137 13477  6410 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:40.747 13477  6410 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 19:48:40.792 13477  6410 D CustomInterceptor: HEADER RESPONSE
08-03 19:48:40.792 13477  6410 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 19:48:40.792 13477  6410 D CustomInterceptor: Connection close
08-03 19:48:40.792 13477  6410 D CustomInterceptor: Content-Type application/json
08-03 19:48:40.792 13477  6410 D CustomInterceptor: Date Mon, 03 Aug 2020 17:48:35 GMT
08-03 19:48:40.792 13477  6410 D CustomInterceptor: Expires Mon, 03 Aug 2020 17:53:40 GMT+00:00
08-03 19:48:40.792 13477  6410 D CustomInterceptor: Last-Modified Mon, 03 Aug 2020 17:48:35 GMT
08-03 19:48:40.792 13477  6410 D CustomInterceptor: Server gunicorn/19.7.0
08-03 19:48:40.792 13477  6410 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-03 19:48:40.792 13477  6410 D CustomInterceptor: Transfer-Encoding chunked
08-03 19:48:40.792 13477  6410 D CustomInterceptor: Vary Cookie
08-03 19:48:40.792 13477  6410 D CustomInterceptor: X-gunicorn-server app14
08-03 19:48:40.792 13477  6410 D CustomInterceptor: X-Homer You don't win friends with salad.
08-03 19:48:40.793 13477  6410 D CustomInterceptor: CACHEABLE true
08-03 19:48:40.793 13477  6410 D CustomInterceptor: REQ https://www.newsblur.com/reader/feeds/?update_counts=true
08-03 19:48:40.793 13477  6410 D CustomInterceptor: REQ_SERV_BY net
08-03 19:48:40.793 13477  6410 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feeds/?update_counts=true
08-03 19:48:40.795 13477  6410 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 19:48:40.829 13477  6445 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-03 19:48:40.830 13477  6445 D CustomInterceptor: HEADER REQUEST
08-03 19:48:40.830 13477  6445 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:40.830 13477  6445 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:48:40.830 13477  6445 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-03 19:48:40.830 13477  6445 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-03 19:48:40.830 13477  6445 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:41.243 13477  6445 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 19:48:41.243 13477  6445 D CustomInterceptor: HEADER RESPONSE
08-03 19:48:41.244 13477  6445 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 19:48:41.244 13477  6445 D CustomInterceptor: Connection close
08-03 19:48:41.244 13477  6445 D CustomInterceptor: Content-Type application/json
08-03 19:48:41.244 13477  6445 D CustomInterceptor: Date Mon, 03 Aug 2020 17:48:36 GMT
08-03 19:48:41.244 13477  6445 D CustomInterceptor: Expires Mon, 03 Aug 2020 17:53:41 GMT+00:00
08-03 19:48:41.244 13477  6445 D CustomInterceptor: Server gunicorn/19.7.0
08-03 19:48:41.244 13477  6445 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-03 19:48:41.244 13477  6445 D CustomInterceptor: Transfer-Encoding chunked
08-03 19:48:41.244 13477  6445 D CustomInterceptor: Vary Cookie
08-03 19:48:41.244 13477  6445 D CustomInterceptor: X-Chief-Wiggum I hope this has taught you kids a lesson: kids never learn.
08-03 19:48:41.244 13477  6445 D CustomInterceptor: X-gunicorn-server app17
08-03 19:48:41.244 13477  6445 D CustomInterceptor: CACHEABLE true
08-03 19:48:41.244 13477  6445 D CustomInterceptor: REQ https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-03 19:48:41.244 13477  6445 D CustomInterceptor: REQ_SERV_BY net
08-03 19:48:41.244 13477  6445 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-03 19:48:41.246 13477  6445 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 19:48:45.742 13477  6594 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-03 19:48:45.742 13477  6594 D CustomInterceptor: HEADER REQUEST
08-03 19:48:45.743 13477  6594 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:45.743 13477  6594 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:48:45.743 13477  6594 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-03 19:48:45.743 13477  6594 D CustomInterceptor: CACHED STATS: size = '2', maxSize = '100', hitCount = '2', createCount = '0', putCount = '2', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=2,misses=2,hitRate=50%]', 
08-03 19:48:45.743 13477  6594 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:46.277 13477  6594 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
