--------- beginning of main
--------- beginning of system
08-05 23:19:57.721  2658 11164 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 23:19:57.722  2658 11164 D CustomInterceptor: HEADER REQUEST
08-05 23:19:57.722  2658 11164 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 23:19:57.722  2658 11164 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Fri, 05 Aug 2022 20:40:09 GMT; Max-Age=63072000; Path=/
08-05 23:19:57.722  2658 11164 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 23:19:57.723  2658 11164 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-05 23:19:57.723  2658 11164 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 23:19:58.242  2658 11164 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 23:19:58.269  2658 11164 D CustomInterceptor: HEADER RESPONSE
08-05 23:19:58.269  2658 11164 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 23:19:58.269  2658 11164 D CustomInterceptor: Connection close
08-05 23:19:58.269  2658 11164 D CustomInterceptor: Content-Type application/json
08-05 23:19:58.269  2658 11164 D CustomInterceptor: Date Wed, 05 Aug 2020 21:19:53 GMT
08-05 23:19:58.269  2658 11164 D CustomInterceptor: Expires Wed, 05 Aug 2020 21:24:58 GMT+00:00
08-05 23:19:58.269  2658 11164 D CustomInterceptor: Last-Modified Wed, 05 Aug 2020 21:19:53 GMT
08-05 23:19:58.269  2658 11164 D CustomInterceptor: Server gunicorn/19.7.0
08-05 23:19:58.269  2658 11164 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 23:19:58.269  2658 11164 D CustomInterceptor: Transfer-Encoding chunked
08-05 23:19:58.269  2658 11164 D CustomInterceptor: Vary Cookie
08-05 23:19:58.270  2658 11164 D CustomInterceptor: X-gunicorn-server app14
08-05 23:19:58.270  2658 11164 D CustomInterceptor: X-Homer You don't win friends with salad.
08-05 23:19:58.270  2658 11164 D CustomInterceptor: CACHEABLE true
08-05 23:19:58.270  2658 11164 D CustomInterceptor: REQ https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 23:19:58.270  2658 11164 D CustomInterceptor: REQ_SERV_BY net
08-05 23:19:58.270  2658 11164 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 23:19:58.272  2658 11164 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 23:19:58.292  2658 11185 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 23:19:58.292  2658 11185 D CustomInterceptor: HEADER REQUEST
08-05 23:19:58.292  2658 11185 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 23:19:58.293  2658 11185 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Fri, 05 Aug 2022 20:40:09 GMT; Max-Age=63072000; Path=/
08-05 23:19:58.293  2658 11185 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 23:19:58.293  2658 11185 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-05 23:19:58.293  2658 11185 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 23:19:58.727  2658 11185 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 23:19:58.728  2658 11185 D CustomInterceptor: HEADER RESPONSE
08-05 23:19:58.728  2658 11185 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 23:19:58.728  2658 11185 D CustomInterceptor: Connection close
08-05 23:19:58.728  2658 11185 D CustomInterceptor: Content-Type application/json
08-05 23:19:58.728  2658 11185 D CustomInterceptor: Date Wed, 05 Aug 2020 21:19:54 GMT
08-05 23:19:58.729  2658 11185 D CustomInterceptor: Expires Wed, 05 Aug 2020 21:24:58 GMT+00:00
08-05 23:19:58.729  2658 11185 D CustomInterceptor: Server gunicorn/19.7.0
08-05 23:19:58.729  2658 11185 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 23:19:58.729  2658 11185 D CustomInterceptor: Transfer-Encoding chunked
08-05 23:19:58.729  2658 11185 D CustomInterceptor: Vary Cookie
08-05 23:19:58.729  2658 11185 D CustomInterceptor: X-Chief-Wiggum I hope this has taught you kids a lesson: kids never learn.
08-05 23:19:58.729  2658 11185 D CustomInterceptor: X-gunicorn-server app17
08-05 23:19:58.729  2658 11185 D CustomInterceptor: CACHEABLE true
08-05 23:19:58.729  2658 11185 D CustomInterceptor: REQ https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 23:19:58.729  2658 11185 D CustomInterceptor: REQ_SERV_BY net
08-05 23:19:58.729  2658 11185 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 23:19:58.731  2658 11185 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 23:20:04.521  2658 11378 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 23:20:04.523  2658 11378 D CustomInterceptor: HEADER REQUEST
08-05 23:20:04.523  2658 11378 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 23:20:04.523  2658 11378 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Fri, 05 Aug 2022 20:40:09 GMT; Max-Age=63072000; Path=/
08-05 23:20:04.523  2658 11378 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 23:20:04.523  2658 11378 D CustomInterceptor: CACHED STATS: size = '2', maxSize = '100', hitCount = '2', createCount = '0', putCount = '2', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=2,misses=2,hitRate=50%]', 
08-05 23:20:04.523  2658 11378 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 23:20:05.099  2658 11378 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 23:20:05.100  2658 11378 D CustomInterceptor: HEADER RESPONSE
08-05 23:20:05.100  2658 11378 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 23:20:05.100  2658 11378 D CustomInterceptor: Connection close
08-05 23:20:05.100  2658 11378 D CustomInterceptor: Content-Type application/json
08-05 23:20:05.100  2658 11378 D CustomInterceptor: Date Wed, 05 Aug 2020 21:20:00 GMT
08-05 23:20:05.100  2658 11378 D CustomInterceptor: Expires Wed, 05 Aug 2020 21:25:05 GMT+00:00
08-05 23:20:05.100  2658 11378 D CustomInterceptor: Server gunicorn/19.7.0
08-05 23:20:05.100  2658 11378 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 23:20:05.100  2658 11378 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-05 23:20:05.100  2658 11378 D CustomInterceptor: X-gunicorn-server app12
08-05 23:20:05.100  2658 11378 D CustomInterceptor: X-Homer Save me, Jeebus.
08-05 23:20:05.100  2658 11378 D CustomInterceptor: CACHEABLE true
08-05 23:20:05.100  2658 11378 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 23:20:05.100  2658 11378 D CustomInterceptor: REQ_SERV_BY net
08-05 23:20:05.100  2658 11378 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 23:20:05.105  2658 11378 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 23:20:05.247  2658 11409 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 23:20:05.248  2658 11409 D CustomInterceptor: HEADER REQUEST
08-05 23:20:05.248  2658 11409 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 23:20:05.248  2658 11409 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '3', toString = 'LruCache[maxSize=100,hits=3,misses=3,hitRate=50%]', 
08-05 23:20:05.248  2658 11409 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 23:20:05.264  2658 11410 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 23:20:05.265  2658 11410 D CustomInterceptor: HEADER REQUEST
08-05 23:20:05.265  2658 11410 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 23:20:05.265  2658 11410 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '4', toString = 'LruCache[maxSize=100,hits=3,misses=4,hitRate=42%]', 
08-05 23:20:05.265  2658 11410 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 23:20:05.271  2658 11411 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 23:20:05.272  2658 11411 D CustomInterceptor: HEADER REQUEST
08-05 23:20:05.272  2658 11411 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 23:20:05.272  2658 11411 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '5', toString = 'LruCache[maxSize=100,hits=3,misses=5,hitRate=37%]', 
08-05 23:20:05.272  2658 11411 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 23:20:05.280  2658 11412 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-05 23:20:05.281  2658 11412 D CustomInterceptor: HEADER REQUEST
08-05 23:20:05.281  2658 11412 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 23:20:05.281  2658 11412 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '6', toString = 'LruCache[maxSize=100,hits=3,misses=6,hitRate=33%]', 
08-05 23:20:05.281  2658 11412 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 23:20:05.290  2658 11414 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-05 23:20:05.290  2658 11414 D CustomInterceptor: HEADER REQUEST
08-05 23:20:05.290  2658 11414 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 23:20:05.290  2658 11414 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '7', toString = 'LruCache[maxSize=100,hits=3,misses=7,hitRate=30%]', 
08-05 23:20:05.291  2658 11414 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 23:20:05.302  2658 11416 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 23:20:05.303  2658 11416 D CustomInterceptor: HEADER REQUEST
08-05 23:20:05.303  2658 11416 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 23:20:05.303  2658 11416 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '8', toString = 'LruCache[maxSize=100,hits=3,misses=8,hitRate=27%]', 
08-05 23:20:05.303  2658 11416 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 23:20:05.310  2658 11413 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 23:20:05.310  2658 11413 D CustomInterceptor: HEADER REQUEST
08-05 23:20:05.310  2658 11413 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 23:20:05.310  2658 11413 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '9', toString = 'LruCache[maxSize=100,hits=3,misses=9,hitRate=25%]', 
08-05 23:20:05.310  2658 11413 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 23:20:05.322  2658 11415 D CustomInterceptor: NETWORK-PROVIDER https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-05 23:20:05.322  2658 11415 D CustomInterceptor: HEADER REQUEST
08-05 23:20:05.322  2658 11415 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 23:20:05.322  2658 11415 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '10', toString = 'LruCache[maxSize=100,hits=3,misses=10,hitRate=23%]', 
08-05 23:20:05.322  2658 11415 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 23:20:05.353  2658 11413 D CustomInterceptor: HEADER RESPONSE
08-05 23:20:05.353  2658 11413 D CustomInterceptor: Cache-Control max-age=3600
08-05 23:20:05.353  2658 11413 D CustomInterceptor: Content-Length 43
08-05 23:20:05.353  2658 11413 D CustomInterceptor: Content-Type image/gif
08-05 23:20:05.353  2658 11413 D CustomInterceptor: Date Wed, 05 Aug 2020 21:20:01 GMT
